Model,Candidate,Mean RMSE,Std RMSE,Mean MAE,Mean R2,Mean Directional Accuracy,Mean Fit Seconds,Parameters
LightGBM,15,0.08216034591387741,0.008108644099482601,0.06155125479091633,-0.04982091150121024,0.5572355289421157,0.6177709579467774,"{'subsample': 0.6, 'reg_lambda': 5.0, 'num_leaves': 15, 'n_estimators': 150, 'min_child_samples': 30, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 0.8}"
LightGBM,14,0.08220451082483023,0.008570486715358192,0.061551728192491065,-0.05031203511692957,0.5555888223552895,0.5457535743713379,"{'subsample': 0.7, 'reg_lambda': 5.0, 'num_leaves': 15, 'n_estimators': 150, 'min_child_samples': 10, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.8}"
LightGBM,4,0.08328945227242152,0.008399326716659493,0.06249934991492301,-0.07934265455040959,0.55,1.4534823417663574,"{'subsample': 1.0, 'reg_lambda': 2.0, 'num_leaves': 127, 'n_estimators': 150, 'min_child_samples': 50, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.9}"
LightGBM,19,0.0838243441437895,0.009009204823087777,0.06281555739758055,-0.09233474022116242,0.5585329341317365,0.7109419345855713,"{'subsample': 0.7, 'reg_lambda': 1.0, 'num_leaves': 15, 'n_estimators': 250, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.6}"
LightGBM,28,0.08383859307669622,0.008312412603392588,0.06285602344176706,-0.09428603702416885,0.5524451097804391,0.5791770458221436,"{'subsample': 0.9, 'reg_lambda': 5.0, 'num_leaves': 15, 'n_estimators': 250, 'min_child_samples': 30, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0}"
LightGBM,18,0.08400942197520869,0.008298358557580382,0.06290001684048867,-0.0993719577207846,0.5596806387225548,2.0195683002471925,"{'subsample': 0.6, 'reg_lambda': 0.0, 'num_leaves': 31, 'n_estimators': 250, 'min_child_samples': 30, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 0.8}"
LightGBM,29,0.08438754355660967,0.0089441852992509,0.06319361239076124,-0.10845529460684122,0.5552894211576846,1.3632877826690675,"{'subsample': 0.8, 'reg_lambda': 5.0, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 30, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}"
LightGBM,20,0.08473102692630033,0.008204914460034527,0.06340968433414898,-0.11920476067170753,0.5580339321357285,2.7915698051452638,"{'subsample': 0.6, 'reg_lambda': 0.5, 'num_leaves': 63, 'n_estimators': 250, 'min_child_samples': 30, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.9}"
LightGBM,23,0.08479895584630748,0.008553171523188168,0.063547154531064,-0.12001993152702375,0.550998003992016,0.7442437171936035,"{'subsample': 0.9, 'reg_lambda': 0.5, 'num_leaves': 15, 'n_estimators': 350, 'min_child_samples': 30, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0}"
LightGBM,16,0.0861831466486325,0.008403867113921118,0.06457548813454801,-0.15927384404811867,0.5526946107784431,4.874163675308227,"{'subsample': 1.0, 'reg_lambda': 2.0, 'num_leaves': 63, 'n_estimators': 500, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 0.6}"
LightGBM,3,0.08657100646706097,0.008725637756413029,0.06475229802181318,-0.1681392020081732,0.5553892215568862,2.4401530742645265,"{'subsample': 0.8, 'reg_lambda': 0.5, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0}"
LightGBM,2,0.08695558313941754,0.009224733929960902,0.06533316291160492,-0.17861547511351467,0.5519960079840319,0.39903850555419923,"{'subsample': 0.8, 'reg_lambda': 2.0, 'num_leaves': 63, 'n_estimators': 150, 'min_child_samples': 50, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
LightGBM,8,0.08765634468267525,0.007932685844559424,0.06595739482031501,-0.2000936936205171,0.5535928143712574,2.2030410289764406,"{'subsample': 0.8, 'reg_lambda': 1.0, 'num_leaves': 31, 'n_estimators': 250, 'min_child_samples': 50, 'max_depth': -1, 'learning_rate': 0.03, 'colsample_bytree': 1.0}"
